unitid,offering_highest_level,offering_highest_degree,offering_grad,inst_size,hbcu,medical_degree,tribal_college,land_grant,sector,inst_control,fips,inst_affiliation,oncampus_housing,calendar_system,study_abroad,dual_credit,ap_credit,employment_services,placement_services,oncampus_daycare,disability_indicator,disability_percentage,cont_prof_prog_offered,occupational_prog_offered,acceptance_rate,tuition_fees_ft
169798,9.0,11.11111111111111,1.0,4.928571428571429,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,5.166666666666667,0.7777777777777778,0.0,0.6890950414450816,13486.962962962964
169831,4.0,0.0,0.0,1.2647372483399486,0.0,0.0,0.0,0.011551613280336685,6.0,3.0,26.0,2.0,0.0,2.6666666666666665,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.6925298144185407,7.079084249084248,0.0,1.0,0.6666666666666666,8758.333333333334
169910,8.333333333333334,14.944444444444445,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.079084249084248,1.0,1.0,0.6640238723288722,10146.175925925925
169974,3.5,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.1111111111111111,1.0,0.0,1.0,1.0,0.9444444444444444,0.0,0.4444444444444444,0.9,4.0,0.0,1.0,0.7104120276160687,3784.6296296296296
169983,7.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,7.25,0.5,0.3888888888888889,0.653301225100533,20231.083333333332
169992,3.0,40.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.7222222222222222,1.0,0.2777777777777778,1.0,0.8888888888888888,1.0,1.0,0.0,0.3,6.0,0.0,1.0,0.7104120276160687,4278.444444444444
170000,5.444444444444445,27.77777777777778,0.2222222222222222,1.1428571428571428,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0,1.0,0.0,0.8,6.5,0.0,0.0,0.5982851018220793,10992.454545454546
170037,7.444444444444445,18.555555555555557,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.0,0.7,4.666666666666667,1.0,0.0,0.7031759217841396,15634.166666666666
170055,3.4444444444444446,40.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.2777777777777777,0.3333333333333333,1.0,0.8888888888888888,1.0,1.0,0.8333333333333334,0.1,4.333333333333333,0.0,1.0,0.7104120276160687,4785.019607843137
170082,8.722222222222221,14.444444444444445,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,4.5,0.0,0.0,0.7832777605459057,11727.083333333334
170091,5.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.0,0.2222222222222222,1.0,1.0,0.9444444444444444,0.9444444444444444,0.0,0.7,8.333333333333334,0.0,0.0,0.6474820143884892,11977.333333333334
170240,3.6666666666666665,38.333333333333336,0.0,4.0,0.0,0.0,0.0,0.0,3.5,1.0,26.0,1.0,0.0,1.0,0.2777777777777778,1.0,1.0,1.0,1.0,0.7777777777777778,0.9,4.0,0.0,1.0,0.7104120276160687,3284.962962962963
170286,7.857142857142857,17.142857142857142,0.7142857142857143,1.2,0.0,0.0,0.0,0.0,2.0,2.0,26.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.42835931700074237,24514.0
170301,5.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.7981685666230611,25692.666666666668
170417,4.411764705882353,32.94117647058823,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,3.8823529411764706,3.0,26.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,0.0,0.56068805566293,15742.4
170444,3.8333333333333335,37.22222222222222,0.0,2.9285714285714284,0.0,0.0,0.0,0.0,3.1666666666666665,1.0,26.0,1.0,0.6666666666666666,1.0,0.2777777777777778,1.0,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.8888888888888888,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,4244.592592592592
170532,5.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,4.0,0.0,0.0,0.6810157556992684,33678.38888888889
170541,4.0,40.0,0.0,3.642857142857143,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.9,4.0,0.0,1.0,0.7104120276160687,3848.1666666666665
170550,3.0,40.0,0.0,2.7857142857142856,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.2222222222222222,0.9,4.0,0.0,1.0,0.7104120276160687,4310.425925925926
170587,3.4444444444444446,40.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.3888888888888889,1.0,0.0,1.0,1.0,0.7222222222222222,1.0,0.7777777777777778,0.9,4.0,0.0,1.0,0.7104120276160687,4432.925925925926
170620,3.5555555555555554,37.22222222222222,0.0,2.0,0.0,0.0,0.0,0.0,3.1666666666666665,1.0,26.0,1.0,0.2777777777777778,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,4235.351851851852
170639,6.555555555555555,22.77777777777778,0.8333333333333334,2.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,1.0,1.0,0.2777777777777778,1.0,1.0,1.0,1.0,1.0,0.0,7.7,1.0,1.0,0.7766850068775791,9233.652777777777
170657,4.0,40.0,0.0,4.357142857142857,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.5555555555555556,1.0,1.0,1.0,1.0,0.5,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,4395.888888888889
170675,8.88888888888889,11.666666666666666,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,3.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,0.0,0.7,5.333333333333333,0.0,0.0,0.6172537508153947,19335.166666666668
170693,3.0,40.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,5.0,2.0,26.0,3.0,0.0,1.0,0.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.6925298144185407,7.079084249084248,0.0,1.0,0.7104120276160687,7681.666666666667
170790,3.0,40.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,26.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,7.079084249084248,0.0,1.0,0.7104120276160687,3838.9814814814813
170806,8.555555555555555,15.555555555555555,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,1.0,1.2222222222222223,1.0,1.0,1.0,1.0,1.0,0.0,0.6,5.0,1.0,0.0,0.7386371450182219,11815.666666666666
170824,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,26.0,3.0,0.0,4.166666666666667,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.6925298144185407,7.079084249084248,0.0,1.0,0.46808510638297873,1500.0
170842,7.0,20.0,1.0,1.7857142857142858,0.0,0.0,0.0,0.0,2.0,2.0,26.0,4.0,0.9444444444444444,1.0,0.8888888888888888,0.9444444444444444,0.7222222222222222,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.2,4.4,0.8888888888888888,1.0,0.5068935633813914,12335.6
